vendor,total_paid,share_of_total,concentration_flag
Cambrian College Of Applied Arts & Technology,35357642,0.000170798,none
Sensenbrenner Hospital,35237676,0.000170218,none
St Patrick'S Home Of Ottawa,34838385,0.000168289,none
Parsons Inc,34817386,0.000168188,none
Simcoe Muskoka District Health Unit,34578890,0.000167036,none
Municipality Of Chatham-Kent,34392151,0.000166134,none
Fidelity Engineering & Construction Inc,34171779,0.000165069,none
Sault College Of Applied Arts & Technology,34120865,0.000164823,none
West Nipissing General Hospital,34048622,0.000164474,none
Algoma District Services Administration Board,33813177,0.000163337,none
Northwest Catholic District School Board,33786730,0.000163209,none
Kenora Catholic District School Board,33729373,0.000162932,none
Gem Health Care Group,33602960,0.000162321,none
Kensington Health Centre,33602549,0.000162319,none
Loyalist College Of Applied Arts & Technology,33597749,0.000162296,none
Destination Ontario,33554896,0.000162089,none
Almonte General Hospital,33482060,0.000161737,none
Thames Valley Children'S Centre,33393351,0.000161309,none
Ontario Physician Services Inc,33159150,0.000160178,none
Reconnect Community Health Services,33028715,0.000159547,none
Conseil Scolaire De District Catholique Des Aurores Boreales,32957815,0.000159205,none
Emergent Biosolutions Canada Inc,32913536,0.000158991,none
Dryden Regional Health Centre,32733447,0.000158121,none
Ottawa-Carleton Association For Persons With Developmental Disabilities (Ocapdd),32642952,0.000157684,none
Strides Toronto Support Services,32636818,0.000157654,none
Community Living Mississauga,32539995,0.000157187,none
Onx Enterprise Solutions Ltd,32376193,0.000156395,none
Chartwell Master Care Lp,32336751,0.000156205,none
Holland Christian Homes Inc,32202041,0.000155554,none
Services And Housing In The Province,32168743,0.000155393,none
Fermar Paving Limited,31932646,0.000154253,none
Woodgreen Community Services,31870019,0.00015395,none
Houselink And Mainstay Community Housing,31797908,0.000153602,none
